Aging,Temperature,SOC,Frequency,Z_real,Z_imag
0,20.0,0,10002.229,3.0045265000000003,-0.91610028
0,20.0,0,7904.959,2.9715083,-0.66178275
0,20.0,0,6248.7827,3.0473026,-0.42214073
0,20.0,0,4941.5811,3.1004606,-0.16431176
0,20.0,0,3906.2498,3.1729076999999997,-0.012016602
0,20.0,0,3087.0369,3.2473498,0.12519317
0,20.0,0,2440.7808,3.3400294,0.23952527
0,20.0,0,1930.6177,3.4184712,0.3176108
0,20.0,0,1525.4882,3.5086106999999997,0.3907769
0,20.0,0,1206.9312,3.5985842999999997,0.45502119
0,20.0,0,954.08411,3.6866865,0.50416531
0,20.0,0,754.27557,3.7834486,0.54768199
0,20.0,0,596.71857,3.8794896,0.59006491
0,20.0,0,471.35751,3.9883438000000004,0.62911317
0,20.0,0,372.7338,4.0835938,0.65960898
0,20.0,0,294.71707,4.2009381999999995,0.6923578300000001
0,20.0,0,232.98701,4.3215011,0.72251254
0,20.0,0,184.11626,4.4464874,0.74497273
0,20.0,0,145.60574,4.5719291,0.7580729399999999
0,20.0,0,115.18433,4.7050351,0.76688343
0,20.0,0,91.078392,4.8382771,0.7651685699999999
0,20.0,0,71.957245,4.975180099999999,0.7511753400000001
0,20.0,0,56.912251,5.1042042,0.7283848799999999
0,20.0,0,44.956841,5.2295621,0.70013094
0,20.0,0,35.557541,5.3476142,0.64665516
0,20.0,0,28.102516,5.4533374,0.59499586
0,20.0,0,22.226173,5.547581200000001,0.5327796699999999
0,20.0,0,17.556183,5.6260051,0.47006813
0,20.0,0,13.884776,5.6882263,0.40816487
0,20.0,0,10.988047,5.735249700000001,0.34971861
0,20.0,0,8.6805573,5.7708961,0.30103779999999997
0,20.0,0,6.8651142,5.801951,0.26115269
0,20.0,0,5.4253473,5.8188951,0.22070657999999999
0,20.0,0,4.292582,5.8421623,0.19411909
0,20.0,0,3.3908424,5.8555249,0.17609025
0,20.0,0,2.6847081,5.866039099999999,0.15813645
0,20.0,0,2.1229622,5.8760167999999995,0.14718708
0,20.0,0,1.6765022,5.8867908,0.13952884
0,20.0,0,1.3259507,5.9029004,0.13842878
0,20.0,0,1.047814,5.9118131,0.14697167
0,20.0,0,0.82777089,5.9214784,0.15475585
0,20.0,0,0.65497148,5.9275567,0.17137089
0,20.0,0,0.5175212,5.9379763,0.18641860999999998
0,20.0,0,0.40911707,5.9534623,0.20822055
0,20.0,0,0.3236866,5.9693856,0.23837038000000002
0,20.0,0,0.25591263,5.991356,0.2736859
0,20.0,0,0.20234396,6.0225781000000005,0.32253403
0,20.0,0,0.16011845,6.0572377,0.38800275
0,20.0,0,0.12650184,6.0892664000000005,0.4677207
0,20.0,1,10002.229,2.7917556,-1.0806649
0,20.0,1,7904.959,2.7929854,-0.70027076
0,20.0,1,6248.7827,2.8480869,-0.44966009
0,20.0,1,4941.5811,2.8827331999999997,-0.25569036
0,20.0,1,3906.2498,2.9142112,-0.08248946700000001
0,20.0,1,3087.0369,2.9813261,0.039924842
0,20.0,1,2440.7808,3.0492989,0.15291849999999998
0,20.0,1,1930.6177,3.1207420000000003,0.23722093
0,20.0,1,1525.4882,3.1917177,0.30795124
0,20.0,1,1206.9312,3.2628265,0.37005724
0,20.0,1,954.08411,3.3518856,0.43144633000000004
0,20.0,1,754.27557,3.4372425,0.48300288999999996
0,20.0,1,596.71857,3.5178978,0.52486785
0,20.0,1,471.35751,3.6063555000000003,0.56841568
0,20.0,1,372.7338,3.7076923,0.60441898
0,20.0,1,294.71707,3.8111146999999996,0.64668659
0,20.0,1,232.98701,3.91621,0.6714912000000001
0,20.0,1,184.11626,4.037985099999999,0.69962646
0,20.0,1,145.60574,4.1618235,0.72382699
0,20.0,1,115.18433,4.288910899999999,0.73844573
0,20.0,1,91.078392,4.419389600000001,0.73938764
0,20.0,1,71.957245,4.5501459,0.73441316
0,20.0,1,56.912251,4.6790708,0.72178262
0,20.0,1,44.956841,4.8053996,0.6897913999999999
0,20.0,1,35.557541,4.9294867,0.65147877
0,20.0,1,28.102516,5.0354470000000005,0.61041239
0,20.0,1,22.226173,5.1385732,0.54898852
0,20.0,1,17.556183,5.2216039,0.49387658000000006
0,20.0,1,13.884776,5.2874158,0.42911747
0,20.0,1,10.988047,5.3438293,0.37010357
0,20.0,1,8.6805573,5.3830836,0.32022494
0,20.0,1,6.8651142,5.4142703,0.27685083000000005
0,20.0,1,5.4253473,5.4356162,0.23745232
0,20.0,1,4.292582,5.4588923,0.20983825
0,20.0,1,3.3908424,5.4732715,0.18287561
0,20.0,1,2.6847081,5.4882783,0.16686319
0,20.0,1,2.1229622,5.4973806,0.15301361
0,20.0,1,1.6765022,5.5098701,0.14313162
0,20.0,1,1.3259507,5.5235419,0.14733252
0,20.0,1,1.047814,5.5350121,0.15273954
0,20.0,1,0.82777089,5.542797,0.16055051
0,20.0,1,0.65497148,5.5516409,0.17402225
0,20.0,1,0.5175212,5.562837200000001,0.18774702
0,20.0,1,0.40911707,5.5787419,0.21088244
0,20.0,1,0.3236866,5.597614699999999,0.23869435
0,20.0,1,0.25591263,5.623356,0.2747211
0,20.0,1,0.20234396,5.6530911999999995,0.32954148
0,20.0,1,0.16011845,5.6818081,0.39792038
0,20.0,1,0.12650184,5.708985500000001,0.47237665
0,20.0,2,10002.229,2.7704688,-1.1265177000000002
0,20.0,2,7904.959,2.6635372000000004,-0.70982228
0,20.0,2,6248.7827,2.6383786000000002,-0.49931114
0,20.0,2,4941.5811,2.6928717,-0.2982532
0,20.0,2,3906.2498,2.7495262,-0.12021256000000001
0,20.0,2,3087.0369,2.8012902000000004,0.0019042085999999999
0,20.0,2,2440.7808,2.8575391000000003,0.11376446
0,20.0,2,1930.6177,2.9248181,0.20003961
0,20.0,2,1525.4882,2.9906081,0.26795792
0,20.0,2,1206.9312,3.0782996,0.36098238
0,20.0,2,954.08411,3.133313,0.39344578
0,20.0,2,754.27557,3.2069413,0.44645934000000004
0,20.0,2,596.71857,3.2882493,0.48971466999999996
0,20.0,2,471.35751,3.3737551,0.538825
0,20.0,2,372.7338,3.4714530000000003,0.5848289
0,20.0,2,294.71707,3.5677981,0.62753039
0,20.0,2,232.98701,3.6786878,0.66377013
0,20.0,2,184.11626,3.7909688,0.6950963299999999
0,20.0,2,145.60574,3.9133945999999997,0.7185296299999999
0,20.0,2,115.18433,4.0329965,0.74019772
0,20.0,2,91.078392,4.1679316,0.7512210300000001
0,20.0,2,71.957245,4.297401799999999,0.75141439
0,20.0,2,56.912251,4.4295993,0.74896141
0,20.0,2,44.956841,4.556614,0.72675658
0,20.0,2,35.557541,4.6765623000000005,0.7109307300000001
0,20.0,2,28.102516,4.7921743,0.67855604
0,20.0,2,22.226173,4.911289999999999,0.6478146
0,20.0,2,17.556183,5.0199968,0.60610246
0,20.0,2,13.884776,5.1188841,0.55696385
0,20.0,2,10.988047,5.203147,0.49792777
0,20.0,2,8.6805573,5.2747139999999995,0.43605434
0,20.0,2,6.8651142,5.3297658,0.37943549
0,20.0,2,5.4253473,5.3776125,0.31719502
0,20.0,2,4.292582,5.4033636,0.27799915000000003
0,20.0,2,3.3908424,5.4281079,0.23995913000000002
0,20.0,2,2.6847081,5.4460871,0.20410476
0,20.0,2,2.1229622,5.4606259999999995,0.18044657
0,20.0,2,1.6765022,5.475407,0.16730679999999998
0,20.0,2,1.3259507,5.4849992,0.15722742
0,20.0,2,1.047814,5.4909065,0.15549434
0,20.0,2,0.82777089,5.4982454,0.15603377
0,20.0,2,0.65497148,5.508243599999999,0.16303721
0,20.0,2,0.5175212,5.5161407,0.17460866
0,20.0,2,0.40911707,5.5315731999999995,0.19069389
0,20.0,2,0.3236866,5.5524888,0.21809897
0,20.0,2,0.25591263,5.574442899999999,0.25931114
0,20.0,2,0.20234396,5.5943844,0.31086121
0,20.0,2,0.16011845,5.6133978,0.36632692
0,20.0,2,0.12650184,5.6455601,0.42255284
0,20.0,3,10002.229,2.5958346999999997,-1.1636901
0,20.0,3,7904.959,2.5015792,-0.75479486
0,20.0,3,6248.7827,2.4893703,-0.49207459000000003
0,20.0,3,4941.5811,2.5102226,-0.30453701
0,20.0,3,3906.2498,2.5800066,-0.16155517
0,20.0,3,3087.0369,2.6211507999999997,-0.031795862
0,20.0,3,2440.7808,2.6777026,0.078485224
0,20.0,3,1930.6177,2.7359142,0.16629529
0,20.0,3,1525.4882,2.7930827,0.24114865000000002
0,20.0,3,1206.9312,2.8554404,0.30277125
0,20.0,3,954.08411,2.9218148,0.36197729
0,20.0,3,754.27557,2.9917997,0.41473296000000004
0,20.0,3,596.71857,3.0710283,0.46328147
0,20.0,3,471.35751,3.1538883,0.5132486700000001
0,20.0,3,372.7338,3.2348380999999997,0.5592707299999999
0,20.0,3,294.71707,3.3305194,0.60679164
0,20.0,3,232.98701,3.4364059,0.6452100399999999
0,20.0,3,184.11626,3.548489,0.68210327
0,20.0,3,145.60574,3.6637112000000003,0.71040931
0,20.0,3,115.18433,3.7912814999999997,0.73966081
0,20.0,3,91.078392,3.9200531,0.7494338199999999
0,20.0,3,71.957245,4.0420513,0.75511751
0,20.0,3,56.912251,4.1739596,0.7605323300000001
0,20.0,3,44.956841,4.2921547,0.74637792
0,20.0,3,35.557541,4.4048307,0.73918811
0,20.0,3,28.102516,4.5197834,0.72926877
0,20.0,3,22.226173,4.6342616,0.72650856
0,20.0,3,17.556183,4.7487905,0.7175460899999999
0,20.0,3,13.884776,4.8694951,0.70853479
0,20.0,3,10.988047,4.9982136,0.68885111
0,20.0,3,8.6805573,5.1225466,0.65522437
0,20.0,3,6.8651142,5.2322615,0.60618075
0,20.0,3,5.4253473,5.3343633,0.54421352
0,20.0,3,4.292582,5.4167644,0.48652446
0,20.0,3,3.3908424,5.4822294000000005,0.42454409000000004
0,20.0,3,2.6847081,5.5291364,0.36585223
0,20.0,3,2.1229622,5.5611669,0.31673256
0,20.0,3,1.6765022,5.5901781,0.27343826000000004
0,20.0,3,1.3259507,5.6147529,0.24702106000000001
0,20.0,3,1.047814,5.6294375,0.22964510000000002
0,20.0,3,0.82777089,5.6418702000000005,0.22188878
0,20.0,3,0.65497148,5.6532407000000005,0.21808274
0,20.0,3,0.5175212,5.6638825,0.22144186
0,20.0,3,0.40911707,5.677373599999999,0.23239173
0,20.0,3,0.3236866,5.697442199999999,0.25446384
0,20.0,3,0.25591263,5.7208184,0.28398144000000003
0,20.0,3,0.20234396,5.750840999999999,0.32760616
0,20.0,3,0.16011845,5.7853968,0.38668705
